timestamp,compliant,missing,present
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:02,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:03,False,"helmet,vest",Person
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:03,False,"helmet,vest",Person
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:03,False,"helmet,vest","Person,Safety Cone"
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:03,False,"helmet,vest",Person
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:03,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:04,False,"helmet,vest","NO-Hardhat,Person"
2026-02-09T23:17:04,False,"helmet,vest",Person
2026-02-09T23:17:04,False,"helmet,vest",Person
2026-02-09T23:17:04,False,"helmet,vest","Person,Safety Cone"
2026-02-09T23:17:04,False,"helmet,vest","Person,Safety Cone"
2026-02-09T23:17:04,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:04,False,"helmet,vest","NO-Hardhat,Person,Safety Cone"
2026-02-09T23:17:04,False,"helmet,vest","Person,Safety Cone"
2026-02-09T23:17:04,False,"helmet,vest","Person,Safety Cone"
2026-02-09T23:17:04,False,"helmet,vest","Person,Safety Cone"
2026-02-09T23:17:04,False,"helmet,vest","Person,Safety Cone"
2026-02-09T23:17:04,False,"helmet,vest",Person
2026-02-09T23:17:04,False,"helmet,vest",Person
2026-02-09T23:17:04,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:04,False,"helmet,vest","NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:05,False,"helmet,vest",Person
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person,Safety Cone"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person,Safety Cone"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:05,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person,Safety Cone"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:06,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:07,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person,Safety Cone"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,NO-Safety Vest,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:08,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
2026-02-09T23:17:09,False,"helmet,vest","NO-Hardhat,NO-Mask,Person"
